SA1_7DIGITCODE_2016,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_inc_lt_rail_M,OneMeth_Tram_inc_lt_rail_F,OneMeth_Tram_inc_lt_rail_P,OneMeth_Taxi_M,OneMeth_Taxi_F,OneMeth_Taxi_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_inc_lt_rl_M,TwoMeth_Trn_Trm_inc_lt_rl_F,TwoMeth_Trn_Trm_inc_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_inc_lt_rl_M,TwoMeth_Bus_Trm_inc_lt_rl_F,TwoMeth_Bus_Trm_inc_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
5100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,96,0,3,8,0,0,0,3,0,3,0,0,3,0,0,0,9,3,15,65,56,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,53,8,17,25,0,0,0,107,93,198
5100102,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,123,113,243,3,4,7,4,0,4,0,0,0,3,0,3,3,0,3,5,4,10,148,121,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,41,23,36,63,6,3,7,193,191,382
5100103,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34,34,67,3,5,7,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,39,54,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,8,9,22,0,0,0,52,71,123
5100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,41,79,0,5,5,0,0,0,0,0,0,6,0,4,0,0,0,8,12,21,61,53,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,23,23,42,0,0,0,81,80,163
5100105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,53,3,3,8,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,44,28,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,6,14,3,7,12,0,0,0,53,43,99
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,36,38,66,0,0,4,0,0,0,4,0,3,0,0,0,3,4,8,3,3,9,47,45,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22,9,12,18,3,3,10,81,70,153
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,60,125,3,3,10,3,0,3,0,0,0,0,0,0,5,4,5,19,12,26,90,78,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,24,19,15,32,0,0,0,126,108,235
5100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,37,79,0,0,0,3,0,4,0,0,3,0,0,0,0,0,0,5,0,4,50,45,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,24,6,14,18,0,0,4,73,68,144
5100111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,44,103,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,8,3,10,67,52,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,29,19,12,25,0,0,0,99,78,181
5100112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,42,76,3,3,7,3,0,3,0,0,3,0,3,3,0,0,0,0,3,3,42,49,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,18,51,5,3,12,3,0,3,81,72,160
5100113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,75,3,6,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,43,42,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,10,6,21,0,0,0,57,51,112
5100114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,91,179,12,9,16,3,0,3,3,0,3,3,0,3,0,0,3,8,0,11,114,100,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,14,15,26,6,3,10,138,132,267
5100115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,39,93,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,8,9,17,70,51,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,44,15,25,35,3,0,3,105,95,203
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,51,0,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,30,36,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,10,0,0,0,33,40,75
5100203,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,72,74,148,3,3,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,80,82,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,15,24,18,13,33,0,0,3,114,111,225
5100204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,44,111,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,70,61,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,11,9,18,0,0,0,81,73,153
5100205,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,58,50,108,4,8,11,0,0,0,0,0,0,0,0,3,0,3,3,3,3,6,68,67,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,11,16,29,3,3,3,90,89,178
5100206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,40,71,4,3,7,0,0,0,0,0,0,5,0,3,0,0,0,6,3,9,40,47,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,8,22,3,5,8,53,67,126
5100207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,78,4,0,4,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,50,46,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,8,14,0,0,0,54,58,113
5100209,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,64,71,134,9,4,13,0,0,0,0,0,0,3,3,8,0,0,0,7,7,11,88,84,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,16,18,32,0,0,6,108,102,213
5100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,57,92,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,47,68,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,12,18,0,0,0,53,77,138
5100214,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,120,112,228,8,10,20,3,0,3,0,0,0,3,3,5,3,0,8,0,4,3,135,132,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,9,13,21,0,0,0,156,153,307
5100216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,54,108,11,7,10,0,0,0,0,0,0,6,0,6,3,0,3,0,0,3,64,69,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,11,15,3,0,3,73,80,154
5100217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,45,98,3,7,9,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,59,55,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,60,63,125
5100218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32,67,3,5,9,0,0,0,0,0,0,3,0,3,0,0,0,0,3,5,46,35,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,4,15,0,0,0,57,51,107
5100219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,48,109,12,5,18,0,0,0,0,0,0,0,4,8,0,0,0,9,5,10,81,68,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,11,16,0,0,3,87,84,173
5100220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,114,10,9,20,3,0,3,0,0,0,4,4,9,0,0,0,8,7,14,82,83,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,9,17,27,0,0,0,98,100,206
5100222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,63,128,0,3,8,3,0,3,0,0,0,0,0,4,0,0,0,0,0,3,80,68,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,17,14,23,31,0,4,4,105,98,203
5100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,94,3,3,5,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,54,53,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,7,3,15,0,0,0,65,60,133
5100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,50,106,3,7,9,5,0,5,0,0,0,0,0,0,3,0,3,3,0,3,75,60,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,10,11,21,0,0,0,87,80,163
5100226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,57,121,3,4,8,5,0,5,0,3,3,0,0,0,0,0,3,3,0,3,72,66,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,15,8,9,9,0,3,4,81,87,166
5100227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,48,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,27,27,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,0,0,0,31,31,68
5100229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,85,172,3,9,13,3,0,3,0,0,0,0,0,0,4,0,6,0,3,6,98,101,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,14,21,38,0,0,3,123,135,260
5100230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,50,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,3,30,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,5,0,0,0,36,34,69
5100231,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,79,79,161,3,13,22,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,90,95,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,9,21,0,0,3,108,110,216
5100232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,83,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,52,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,12,11,18,0,0,0,58,59,121
5100233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,66,117,5,3,12,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,67,69,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,10,16,0,0,0,80,85,164
5100234,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,103,103,206,6,8,17,0,0,0,0,0,0,0,3,3,3,0,5,4,3,11,130,117,244,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,14,17,41,46,82,0,3,4,177,179,359
5100235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,54,118,3,12,17,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,73,71,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,13,16,0,0,4,78,89,168
5100236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,66,119,6,4,12,0,0,0,0,0,3,3,0,6,0,0,0,0,3,3,69,69,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,16,27,3,0,3,81,91,175
5100237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,76,155,3,7,17,0,0,0,0,0,0,5,0,8,4,0,4,19,10,25,107,98,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,13,20,32,44,73,0,0,0,151,155,313
5100238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,42,106,9,3,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,78,49,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13,13,14,23,3,0,4,91,72,169
5100239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,67,4,0,6,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,48,39,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,54,48,99
5100240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,55,109,14,0,10,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,75,59,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,9,10,0,0,0,81,75,150
5100241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,56,123,3,13,14,0,0,0,0,0,0,5,0,5,3,0,3,0,0,0,75,73,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,26,3,0,6,95,87,177
5100243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,61,143,7,6,11,3,0,3,0,0,0,9,4,11,0,0,0,3,0,3,100,71,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,7,16,0,0,0,109,90,195
5100244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,77,150,9,10,18,0,0,0,0,0,0,6,0,6,0,0,0,0,5,5,91,86,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,4,13,17,0,0,0,101,114,212
5100246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,55,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,31,31,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,9,13,3,0,0,50,46,90
5100247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,46,107,0,4,6,3,0,3,0,0,0,0,0,0,0,0,0,0,4,3,69,60,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,15,18,0,0,0,79,77,155
5100249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,67,3,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,43,38,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,6,0,0,0,47,46,88
5100250,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,49,42,92,0,3,3,0,0,0,0,0,0,3,3,7,0,0,0,0,4,4,59,60,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,10,9,14,0,0,0,64,73,138
5100251,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,41,39,79,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,47,43,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,17,0,0,0,52,55,112
