SA1_7DIGITCODE_2016,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85,M_IT_Tot,M_Egnr_rel_Tech_15_24,M_Egnr_rel_Tech_25_34,M_Egnr_rel_Tech_35_44,M_Egnr_rel_Tech_45_54,M_Egnr_rel_Tech_55_64,M_Egnr_rel_Tech_65_74,M_Egnr_rel_Tech_75_84,M_Egnr_rel_Tech_85,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24,M_Arc_Bld_25_34,M_Arc_Bld_35_44,M_Arc_Bld_45_54,M_Arc_Bld_55_64,M_Arc_Bld_65_74,M_Arc_Bld_75_84,M_Arc_Bld_85_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24,M_Mgmt_Cmrce_25_34,M_Mgmt_Cmrce_35_44,M_Mgmt_Cmrce_45_54,M_Mgmt_Cmrce_55_64,M_Mgmt_Cmrce_65_74,M_Mgmt_Cmrce_75_84,M_Mgmt_Cmrce_85_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24,M_FoodHos_PsnlSvcs_25_34,M_FoodHos_PsnlSvcs_35_44,M_FoodHos_PsnlSvcs_45_54,M_FoodHos_PsnlSvcs_55_64,M_FoodHos_PsnlSvcs_65_74,M_FoodHos_PsnlSvcs_75_84,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24,M_Mix_Fld_Prog_25_34,M_Mix_Fld_Prog_35_44,M_Mix_Fld_Prog_45_54,M_Mix_Fld_Prog_55_64,M_Mix_Fld_Prog_65_74,M_Mix_Fld_Prog_75_84,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24,F_Nat_Phy_Sci_25_34,F_Nat_Phy_Sci_35_44,F_Nat_Phy_Sci_45_54,F_Nat_Phy_Sci_55_64,F_Nat_Phy_Sci_65_74,F_Nat_Phy_Sci_75_84,F_Nat_Phy_Sci_85,F_Nat_Phy_Sci_Tot,F_IT_15_24,F_IT_25_34,F_IT_35_44,F_IT_45_54,F_IT_55_64,F_IT_65_74,F_IT_75_84,F_IT_85,F_IT_Tot,F_Egnr_rel_Tech_15_24,F_Egnr_rel_Tech_25_34,F_Egnr_rel_Tech_35_44,F_Egnr_rel_Tech_45_54,F_Egnr_rel_Tech_55_64,F_Egnr_rel_Tech_65_74,F_Egnr_rel_Tech_75_84,F_Egnr_rel_Tech_85,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24,F_Arc_Bld_25_34,F_Arc_Bld_35_44,F_Arc_Bld_45_54,F_Arc_Bld_55_64,F_Arc_Bld_65_74,F_Arc_Bld_75_84,F_Arc_Bld_85_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24,F_Mgmt_Cmrce_25_34
5100101,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,3,10,3,0,0,22,0,3,0,3,0,0,0,0,7,0,0,5,0,0,3,6,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,9,5,0,0,23,3,15,8,14,21,15,4,0,89,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,4,4,0,0,7,0,0,0,9,3,5,0,0,19,3,3
5100102,0,3,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,14,27,5,6,5,0,0,56,0,6,9,13,6,0,0,0,39,0,3,6,3,3,0,0,0,14,0,4,3,3,0,0,0,0,12,0,0,5,0,0,0,0,0,12,0,0,3,0,0,0,0,0,6,0,0,3,0,0,0,0,0,7,0,0,0,0,3,0,0,0,4,0,3,3,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,7,3,0,0,0,38,4,40,80,40,28,17,3,3,212,0,4,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,0,14,7,4,0,0,0,0,33,0,7,14,6,3,3,0,0,39,0,11
5100103,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,7,0,37,0,0,3,3,0,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,17,9,7,9,7,15,39,17,8,103,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,0,17,0,0,4,0,4,3,0,5,15,0,6
5100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,4,5,0,0,35,0,0,0,3,6,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,4,3,5,0,3,27,9,14,14,19,28,23,8,6,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,3,4,4,3,0,20,0,3,0,3,0,3,3,3,14,4,0
5100105,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,18,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,9,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,8,9,8,20,10,10,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,14,0,0,0,0,3,0,0,0,8,0,0
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,5,4,4,8,0,0,25,0,0,0,0,3,3,0,0,9,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,9,7,11,8,14,13,15,4,0,74,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,4,0,0,14,0,5,0,0,3,3,0,0,17,0,0
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,15,6,7,0,0,39,3,0,3,4,3,0,0,0,16,0,0,7,3,0,0,0,0,8,0,0,0,0,0,4,0,0,6,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,0,0,6,0,0,3,0,3,0,0,0,7,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,8,3,4,0,0,0,26,16,11,25,27,23,26,5,0,128,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,3,0,0,0,23,0,6,0,6,3,7,0,0,19,0,3
5100110,0,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,14,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,3,3,0,0,22,4,9,8,14,18,13,4,0,74,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,3,0,7,0,0,3,3,4,3,0,0,15,0,5
5100111,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,9,7,6,0,0,23,0,0,3,0,3,0,0,0,13,0,3,0,0,0,0,4,0,10,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,0,0,4,0,3,0,0,3,0,0,0,7,0,0,4,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,13,8,15,15,17,15,19,6,0,96,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,10,0,5,3,3,6,7,3,0,22,0,3
5100112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,9,8,0,0,0,26,0,0,0,0,0,0,0,0,8,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,8,4,3,0,31,4,10,15,16,25,12,5,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,3,0,0,4,4,0,0,11,0,3,3,3,4,0,0,0,13,0,3
5100113,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,22,0,0,3,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,13,5,3,11,10,23,11,4,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,0,0,14,0,0,0,0,0,3,0,0,3,0,0
5100114,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,3,8,12,5,3,4,0,33,0,5,3,4,0,0,0,0,19,0,3,6,8,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,3,4,0,0,22,5,14,37,35,11,8,8,3,123,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,3,5,3,6,0,0,0,21,0,4,8,7,3,4,0,0,22,0,3
5100115,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,8,4,9,3,0,0,31,0,0,3,4,0,4,0,0,17,0,0,5,0,3,0,0,0,9,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,7,0,10,26,11,21,15,5,0,87,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,3,7,11,6,0,0,26,0,0,4,0,3,0,0,0,11,3,0
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,30,0,0,0,0,0,4,3,3,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,20,43,4,5,5,7,0,24,43,30,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,18,0,0,0,0,0,4,3,0,12,0,0
5100203,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,5,14,6,4,0,0,39,3,3,4,0,3,3,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,13,5,9,21,27,18,15,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,0,0,0,15,0,0,0,0,5,5,0,0,8,5,0
5100204,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,3,4,3,4,0,20,0,4,0,0,3,0,3,0,6,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,3,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,7,8,0,0,0,18,9,14,12,19,18,6,5,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,16,0,0,0,10,3,0,3,0,14,5,0
5100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,3,0,0,27,0,0,0,5,5,0,0,0,8,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,12,0,0,0,6,0,4,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,15,26,11,7,3,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,19,0,0,3,9,3,0,0,0,15,0,0
5100206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,4,3,0,19,0,3,3,0,3,0,0,0,12,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,8,3,0,13,8,3,13,14,11,18,9,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,14,0,0,3,0,4,3,0,0,11,3,0
5100207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,3,0,12,0,3,7,0,3,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,11,4,12,16,3,11,7,8,4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,14,0,0,3,3,0,0,0,0,13,0,3
5100209,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,3,3,3,7,9,3,0,28,0,5,3,3,3,3,0,0,19,0,0,0,4,0,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7,0,0,11,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,7,3,5,0,30,5,23,14,18,29,27,12,0,126,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,5,3,4,0,26,0,0,11,4,0,6,0,0,21,3,3
5100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,16,0,0,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,11,16,10,9,3,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,12,0,0,3,0,0,3,0,0,9,0,3
5100214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,10,3,10,0,0,45,0,3,5,3,0,3,3,0,20,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,3,0,3,3,0,0,0,4,0,0,5,11,3,3,0,0,20,0,0,0,0,4,0,0,0,7,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,10,11,14,33,26,12,22,7,3,133,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,5,4,10,3,6,0,0,26,0,8,11,5,0,5,0,0,31,0,3
5100216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,0,3,3,18,0,0,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,13,7,9,13,12,13,10,9,5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,10,0,0,3,3,0,3,0,0,10,3,3
