SA1_7DIGITCODE_2016,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85,M_Tot_LF_Tot,M_N_the_LF_15_19,M_N_the_LF_20_24,M_N_the_LF_25_34,M_N_the_LF_35_44,M_N_the_LF_45_54,M_N_the_LF_55_64,M_N_the_LF_65_74,M_N_the_LF_75_84,M_N_the_LF_85,M_N_the_LF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19,F_Tot_emp_20_24,F_Tot_emp_25_34,F_Tot_emp_35_44,F_Tot_emp_45_54,F_Tot_emp_55_64,F_Tot_emp_65_74,F_Tot_emp_75_84,F_Tot_emp_85_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85,F_Tot_unemp_Total
5100101,0,0,3,8,12,16,9,3,0,56,0,0,8,3,0,13,7,6,0,41,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,4,8,0,13,10,16,27,20,4,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,9,0,15,10,17,27,20,4,0,108,3,0,0,0,3,8,5,3,0,24,0,0,7,0,0,9,5,0,0,18,10,3,18,19,22,40,27,14,0,154,0,0,3,11,9,13,8,0,0,39,0,0,5,4,7,16,4,0,0,51,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,11,12,15,28,16,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3
5100102,3,3,33,60,26,5,0,0,0,135,3,0,12,11,4,10,3,0,0,51,0,0,0,4,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,6,45,73,39,23,3,0,0,193,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,7,4,44,75,41,23,3,0,0,200,6,0,0,8,3,11,12,4,3,49,0,0,5,15,4,3,0,0,0,36,13,4,49,99,48,34,20,4,3,279,0,3,9,13,21,6,0,0,0,50,4,3,27,52,19,20,3,0,0,128,0,0,5,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,3,44,69,36,26,3,0,0,191,0,0,0,0,0,3,0,0,0,8,0,0,0,7,0,0,0,0,0,6,0,0,0,7,0,3,0,0,0,10
5100103,0,0,0,5,11,4,3,0,0,25,3,0,0,0,4,10,3,3,0,25,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,6,8,9,16,4,3,0,52,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6,5,3,6,10,12,16,11,3,0,65,3,0,0,3,5,7,38,25,10,103,0,0,0,0,0,0,0,0,3,10,8,3,10,15,23,29,50,28,11,169,0,0,4,0,9,6,0,0,0,23,3,3,3,8,3,12,4,0,0,42,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,7,12,7,14,24,4,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5
5100104,0,0,5,10,18,15,0,0,0,48,3,0,0,3,4,6,3,0,0,25,3,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,6,11,26,23,3,0,0,81,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,11,8,3,8,16,32,21,3,0,0,96,3,0,0,3,3,17,31,23,9,93,0,0,6,0,4,0,3,0,0,18,12,0,14,20,43,42,38,22,11,203,0,0,9,11,7,4,0,0,0,32,3,4,7,6,12,15,0,0,0,46,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,3,9,11,10,16,25,7,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
5100105,0,0,3,4,13,10,0,0,0,28,3,0,6,3,3,11,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,10,17,20,4,0,0,53,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,7,10,14,20,4,0,0,57,0,0,3,0,0,8,15,5,3,43,0,0,0,0,0,0,0,4,0,5,4,0,10,9,14,24,21,12,3,101,0,0,0,0,4,6,0,0,0,12,3,0,3,3,9,6,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,5,7,13,11,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,4,9,17,12,8,9,0,0,51,3,0,5,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,4,11,19,14,14,9,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,4,15,19,15,14,8,0,0,82,3,0,0,3,3,12,17,8,4,50,0,0,0,0,3,3,0,0,0,6,5,4,13,19,25,31,30,6,4,144,0,0,3,4,8,10,5,0,0,31,0,3,3,5,8,12,3,0,0,34,0,0,3,0,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,3,5,6,7,14,17,19,6,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,3,3,11,20,21,13,5,3,0,79,3,3,0,5,12,6,10,0,0,35,0,0,0,3,3,0,3,0,0,12,0,0,0,0,0,0,3,0,0,3,4,6,11,28,29,24,18,4,0,126,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,4,6,13,28,32,23,20,4,0,131,6,0,0,3,5,12,13,5,3,50,3,3,3,8,0,0,3,0,0,21,13,12,14,33,38,43,36,9,3,205,0,0,3,11,11,14,0,0,0,41,3,0,10,9,28,10,6,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,13,18,35,31,6,3,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
5100110,0,5,8,9,13,7,0,0,0,42,0,3,3,3,3,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,10,14,17,17,3,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,14,15,17,3,3,0,77,0,0,0,0,0,9,12,0,0,27,0,0,3,0,7,3,0,0,0,17,3,10,15,15,26,24,19,3,3,114,0,3,7,7,4,3,0,0,0,25,7,3,3,4,9,10,5,0,0,35,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,3,0,3,6,7,10,10,14,16,3,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100111,0,3,11,16,17,12,5,0,0,59,4,0,0,4,10,6,8,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,5,10,20,21,20,12,0,0,99,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,14,22,23,20,12,0,0,99,3,0,0,3,0,5,12,3,0,30,0,0,0,0,0,0,4,0,0,10,6,6,15,28,25,26,26,6,0,143,0,0,4,4,3,9,0,0,0,26,0,3,10,6,9,13,9,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,16,15,24,9,0,0,78,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5100112,0,0,8,19,14,8,6,4,0,57,4,0,3,3,3,0,10,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,0,10,16,17,15,14,6,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,10,16,23,12,14,6,3,89,3,0,0,3,0,3,12,0,0,28,0,3,3,5,3,7,0,0,0,22,5,4,14,21,27,22,23,8,3,134,0,0,8,3,9,11,4,0,0,29,4,0,7,10,5,10,8,0,0,37,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,18,9,16,20,10,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
5100113,0,3,7,11,5,16,0,0,0,38,3,0,0,0,4,4,0,0,0,10,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,3,7,12,13,20,3,0,0,57,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,6,4,6,12,13,23,3,0,0,61,0,3,0,0,8,3,18,10,0,47,0,0,0,0,0,3,3,0,0,12,10,6,4,13,20,33,27,10,0,124,0,0,0,0,6,3,3,0,0,21,3,0,3,5,11,9,0,0,0,32,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,3,5,6,8,23,15,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100114,3,0,7,39,24,8,0,0,0,83,11,0,4,3,8,4,0,0,0,37,0,0,3,6,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,12,0,18,46,39,16,3,0,0,138,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,12,0,16,50,38,14,3,0,0,139,0,0,0,3,3,0,8,12,3,36,3,0,0,6,3,0,0,0,0,16,21,3,19,52,48,15,16,13,3,191,0,0,5,12,12,4,3,0,0,42,7,0,13,32,9,10,0,0,0,78,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,4,24,49,26,14,5,0,0,132,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6
5100115,0,0,9,15,18,19,7,0,0,69,0,0,4,11,3,4,3,3,0,29,0,0,4,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,14,27,23,24,13,5,0,105,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,14,30,23,29,10,5,0,110,3,0,0,3,0,8,16,4,3,35,0,0,0,0,0,0,0,0,0,3,4,0,14,37,23,34,26,14,3,151,0,0,0,3,8,5,3,0,0,24,3,6,4,18,8,14,7,3,0,63,0,0,0,0,3,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,6,18,19,23,14,3,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,5,3,6,4,4,0,0,0,19,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,8,4,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,8,4,3,0,0,29,4,0,0,0,0,3,23,44,29,101,0,0,0,0,0,0,4,17,20,40,4,5,5,11,3,10,31,55,43,174,0,0,0,3,4,0,0,0,0,15,4,0,3,4,0,5,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,5,8,12,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100203,3,4,9,27,20,14,9,0,0,87,0,0,0,0,4,3,5,0,0,18,0,0,0,0,4,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,6,6,9,27,28,18,7,0,0,114,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,9,6,15,25,35,16,7,0,0,123,6,0,0,0,3,3,15,3,0,32,0,0,0,0,0,3,0,0,0,3,23,6,15,26,36,25,21,3,3,163,3,0,7,9,6,11,3,0,0,36,5,5,6,26,19,6,0,0,0,65,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,10,10,30,26,20,5,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8
5100204,5,0,5,12,15,11,0,0,0,51,3,3,7,0,3,5,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,3,16,13,16,15,4,0,0,81,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,7,6,10,22,13,16,19,4,0,0,93,8,5,0,3,5,10,10,9,4,56,0,0,0,0,3,4,0,0,0,15,21,15,26,19,26,33,9,13,4,161,0,0,6,5,10,3,0,0,0,21,5,5,7,9,13,9,0,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,5,8,19,18,12,3,0,0,73,0,0,0,3,0,0,0,0,0,4,3,0,4,0,3,0,0,0,0,12,3,0,4,3,4,0,0,0,0,14
5100205,3,6,6,13,21,12,0,0,0,56,8,3,4,3,8,4,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,20,28,17,3,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,9,20,28,19,7,0,0,97,9,0,0,0,3,3,9,3,0,29,0,0,0,0,0,0,0,0,0,4,14,6,9,20,35,21,19,6,0,128,0,0,0,8,9,9,0,0,0,24,9,7,0,11,21,10,4,0,0,62,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,7,4,16,36,15,4,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5100206,3,3,4,9,12,3,0,0,0,37,0,3,3,0,0,3,4,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,10,14,10,6,7,0,0,53,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,7,7,5,8,19,10,6,4,0,0,62,3,0,0,3,3,6,18,16,14,72,0,0,3,0,0,0,4,0,0,10,8,12,13,21,15,12,31,22,14,141,0,0,4,3,6,5,0,0,0,21,0,3,3,12,3,10,3,0,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,10,10,15,11,12,3,0,0,67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,6,0,0,4,0,7,0,0,0,0,7
5100207,0,7,12,7,3,7,0,0,0,39,3,0,0,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,16,15,9,13,0,0,0,54,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,11,15,11,6,12,0,0,0,59,0,0,5,3,0,9,9,18,0,46,0,0,0,0,0,0,3,0,0,4,3,6,16,18,9,22,11,18,4,108,0,0,3,6,3,4,0,0,0,24,0,0,4,6,9,13,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,17,15,18,0,0,0,58,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6
5100209,0,6,14,11,14,13,0,0,0,64,3,8,5,6,9,7,3,0,0,35,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,3,13,27,15,25,24,5,0,0,108,0,0,4,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,4,3,4,0,0,0,0,12,4,15,31,18,22,24,5,0,0,124,0,3,3,3,7,15,30,14,5,74,0,0,8,5,0,7,4,7,0,27,6,17,40,26,32,45,44,15,5,224,3,3,6,10,12,6,0,0,0,46,3,0,5,12,19,13,8,0,0,57,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,10,15,18,32,20,8,0,0,102,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5
5100213,3,3,0,12,17,8,0,0,0,39,3,0,3,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,3,11,23,9,0,0,0,53,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,6,0,4,14,23,16,0,0,0,62,3,0,0,0,3,4,15,6,3,34,0,0,0,0,0,0,0,0,0,3,10,0,4,11,27,15,16,10,6,98,0,3,4,4,7,4,0,0,0,23,10,0,4,12,14,7,3,0,0,50,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,3,9,18,24,15,3,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100214,0,11,21,28,38,8,3,0,0,121,11,0,0,6,3,3,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,17,23,38,46,17,3,0,0,156,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,7,15,17,23,39,44,18,3,0,0,164,14,3,3,0,0,7,27,12,3,62,3,0,0,0,0,0,0,0,0,6,31,19,31,38,48,22,34,9,3,229,0,6,7,17,20,3,0,0,0,60,9,4,13,25,24,17,0,0,0,86,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,14,18,36,48,18,0,0,0,153,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,3,0,0,3,0,0,0,0,0,5
5100216,0,4,6,18,13,11,0,0,0,54,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,10,10,14,18,12,5,0,0,73,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,13,4,10,12,18,18,19,5,0,0,81,4,0,4,3,3,6,17,17,9,62,0,0,0,3,3,3,3,0,0,15,13,10,18,20,28,25,26,15,9,156,0,0,3,7,11,5,0,0,0,27,4,3,5,9,12,7,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,7,21,23,14,7,0,0,80,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6
