SA2_MAINCODE_2016,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85,M_Inad_desc_Ns_Tot
501011001,9,9,28,56,41,53,50,16,0,277,0,0,14,28,22,8,0,0,0,67,6,3,20,39,32,25,7,4,0,139,0,0,0,3,0,0,0,0,0,6,4,3,34,69,55,43,8,0,0,219,4,0,0,3,7,3,3,0,0,18,13,7,13,11,17,17,0,0,0,77,19,0,10,16,18,13,7,0,0,95,0,0,3,3,4,10,8,0,0,37,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,4,5,3,0,0,0,13,0,0,4,9,5,5,3,0,0,31,0,0,9,18,16,14,3,0,0,53,0,0,7,6,15,8,0,0,0,41,0,0,6,9,7,9,3,0,0,35,0,0,3,12,10,8,7,0,0,34,0,0,0,5,0,0,3,0,0,7,3,0,7,12,10,4,0,0,0,38,0,0,4,3,12,11,6,4,3,46
501011002,9,17,48,43,49,47,27,14,3,252,0,12,74,128,106,45,3,0,0,367,12,54,74,99,81,53,18,0,0,391,0,0,13,35,27,9,0,0,0,85,70,138,245,273,235,170,22,3,0,1162,6,6,14,19,29,24,8,0,0,111,88,53,88,99,88,81,19,8,0,532,104,33,88,79,51,38,18,4,0,417,3,3,25,41,87,68,59,3,0,282,3,4,7,6,8,6,0,0,0,43,0,3,4,9,18,15,5,0,0,61,3,3,17,20,21,20,12,0,0,90,0,5,22,46,45,31,15,0,0,168,8,24,36,48,48,50,17,0,0,230,4,14,35,74,63,61,13,0,0,260,3,6,25,40,54,49,5,0,0,188,3,9,30,52,54,64,17,3,0,231,5,3,6,13,16,17,7,0,0,65,13,18,34,45,43,47,9,0,0,218,14,24,41,61,51,36,15,3,0,250
501011003,4,11,44,45,65,48,36,4,0,261,0,0,38,62,35,17,3,0,0,165,11,3,36,48,47,19,12,0,0,192,0,0,3,4,5,6,0,0,0,18,21,37,108,143,139,88,8,0,0,547,3,0,3,5,11,10,3,0,0,39,34,10,18,23,30,26,3,0,0,148,33,16,70,48,49,35,3,0,0,256,3,0,3,12,13,26,9,0,0,71,0,0,5,3,4,0,0,0,0,13,0,0,0,8,14,3,6,0,0,42,0,0,6,18,16,11,6,0,0,65,0,3,21,34,49,26,12,0,0,140,0,3,12,24,25,23,4,0,0,94,0,0,15,14,21,10,5,0,0,62,0,0,7,22,21,19,4,0,0,74,0,0,12,25,22,20,3,0,0,78,0,0,6,15,6,5,0,0,0,32,3,5,10,18,15,14,0,0,0,66,4,10,25,27,23,19,9,0,0,118
501011004,3,18,43,32,20,16,3,4,0,134,0,3,30,44,28,5,5,0,0,118,8,18,91,88,61,34,12,0,0,308,0,0,3,10,10,0,0,0,0,27,25,19,95,116,83,58,11,3,0,403,0,4,11,9,13,17,3,0,0,46,27,8,19,34,27,37,9,0,0,162,31,18,69,44,30,23,5,3,0,229,0,3,5,6,15,12,8,0,0,51,0,0,3,8,3,0,0,0,0,13,0,0,0,6,4,3,3,0,0,19,0,0,0,7,9,12,3,0,0,34,0,0,10,37,24,18,11,0,0,95,0,10,24,22,24,14,9,0,0,101,0,0,9,17,9,16,3,0,0,63,4,0,11,25,35,22,0,0,0,91,3,0,5,20,21,15,6,0,0,65,3,0,7,10,14,5,0,0,0,37,3,6,17,16,21,8,3,0,0,65,7,9,21,44,27,27,4,3,0,138
501021005,3,4,15,19,19,24,3,4,0,100,3,21,129,146,136,58,3,0,0,495,20,53,159,171,164,98,15,0,0,688,0,4,34,45,31,30,0,0,0,148,35,69,156,131,135,85,11,0,0,628,3,6,27,20,17,13,0,0,0,82,56,54,66,43,52,32,10,0,0,312,69,24,18,9,13,5,7,0,0,146,3,11,24,50,67,51,26,0,0,232,3,5,4,7,3,0,0,0,0,20,0,0,9,13,10,0,0,0,0,37,3,4,3,6,5,11,3,0,0,36,0,6,26,28,22,19,7,0,0,106,3,6,17,13,13,13,10,4,0,70,7,6,21,44,49,43,0,0,0,173,3,3,19,22,37,43,9,3,0,144,0,5,16,20,18,31,4,0,0,98,3,0,7,0,6,12,0,0,0,33,10,23,26,31,33,13,4,0,0,145,11,11,32,42,41,32,15,0,0,180
501021007,0,15,19,24,22,31,24,10,3,153,0,5,29,29,23,25,0,0,0,113,5,10,21,20,34,19,4,0,0,120,0,0,9,3,5,3,0,0,0,24,13,21,44,60,58,34,7,0,0,232,0,3,5,8,3,5,5,0,0,33,8,3,10,8,16,10,0,0,0,65,9,3,0,0,4,4,0,0,0,23,0,0,7,14,14,19,14,0,0,65,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,4,4,3,0,18,0,3,3,5,10,9,3,0,0,36,3,0,10,3,8,5,0,0,0,34,0,0,5,8,22,16,3,0,0,59,0,0,3,7,12,10,4,0,0,37,0,0,9,6,11,9,3,0,0,31,3,0,0,3,0,4,0,0,0,20,3,9,5,6,15,9,3,0,0,49,3,3,9,20,14,9,3,0,0,56
501021008,0,0,7,4,0,3,0,0,0,19,0,5,29,14,20,19,0,0,0,94,5,28,49,52,41,30,3,0,0,202,0,0,8,8,9,11,3,0,0,38,13,40,54,54,64,37,9,0,0,268,3,3,5,11,12,0,0,0,0,37,14,19,44,28,14,15,4,0,0,136,21,14,11,8,3,0,4,0,0,63,3,0,17,18,19,34,11,0,0,103,0,0,7,4,3,7,0,0,0,18,0,0,0,0,3,0,0,0,0,7,0,5,3,0,4,0,0,0,0,13,0,3,11,4,8,5,0,0,0,35,3,0,4,7,3,6,3,0,0,27,0,3,15,13,14,14,0,0,0,57,0,0,8,12,0,19,0,0,0,46,0,3,15,10,16,7,3,0,0,63,0,3,3,0,8,3,0,0,0,19,6,7,9,11,15,5,0,0,0,56,3,14,21,11,20,9,3,0,0,83
501021009,3,3,10,10,10,13,5,3,0,55,10,34,88,106,167,120,3,0,0,517,11,21,39,38,35,12,3,0,0,163,7,8,47,36,66,42,4,0,0,208,10,26,36,29,29,24,5,0,0,163,0,0,0,0,0,0,0,0,0,8,18,6,7,7,15,7,3,0,0,71,35,15,8,4,7,9,0,0,0,74,3,7,12,11,17,22,3,0,0,71,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,3,3,0,0,21,3,6,8,12,3,4,3,0,0,31,0,3,7,10,0,6,3,0,0,27,3,5,8,11,21,14,0,0,0,64,0,0,3,8,9,10,3,0,0,32,0,0,6,8,9,9,3,0,0,39,0,4,3,3,7,4,0,0,0,20,11,15,10,14,13,7,5,0,0,69,3,9,21,12,19,11,9,0,0,80
501021010,0,8,7,17,33,17,18,4,3,99,0,0,14,19,17,7,0,0,0,65,9,8,17,34,34,15,3,0,0,119,0,0,0,4,9,10,0,0,0,21,9,12,16,25,32,15,7,4,0,123,0,0,8,3,3,3,4,0,0,23,14,5,0,7,12,5,0,0,0,36,6,3,3,0,5,0,3,0,0,18,0,0,10,12,18,17,12,0,0,63,3,0,0,3,0,0,0,0,0,6,0,0,0,5,3,0,0,0,0,11,0,0,0,0,3,3,4,0,0,9,0,3,4,11,3,3,0,0,0,21,3,0,0,3,3,6,0,0,0,13,0,0,3,0,4,12,0,0,0,26,0,0,3,0,11,13,0,0,0,29,0,0,4,3,4,7,0,0,0,24,0,0,0,0,0,3,0,0,0,3,4,3,10,4,3,6,3,0,0,37,3,4,3,6,11,8,0,0,0,37
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,3,5,13,8,6,10,3,3,0,45,0,17,72,77,62,35,5,0,0,263,13,44,112,123,109,60,14,0,0,469,0,3,21,26,21,22,3,0,0,100,26,66,150,101,92,60,13,0,0,510,4,4,8,8,15,14,3,0,0,56,39,50,45,28,30,26,0,0,0,225,42,19,11,20,9,3,0,0,0,103,7,4,32,37,43,47,6,0,0,170,4,4,7,3,4,4,3,0,0,30,0,0,7,7,11,3,0,0,0,27,3,3,6,7,8,7,4,3,0,36,3,7,13,19,16,9,3,0,0,79,0,0,10,11,9,8,3,0,0,42,3,9,17,25,43,32,4,0,0,132,0,3,14,11,13,11,3,0,0,57,0,6,5,14,20,12,4,0,0,68,3,0,0,3,3,0,0,0,0,10,8,20,37,34,17,23,4,3,0,137,12,8,33,30,15,17,3,0,0,118
501021014,16,13,41,44,63,62,56,19,0,302,3,4,18,41,55,34,3,0,0,152,24,44,128,132,125,70,11,0,0,538,0,0,3,12,10,18,0,0,0,36,24,25,47,83,59,52,3,0,0,302,4,0,3,5,7,3,0,0,0,26,10,12,19,9,12,10,5,3,0,92,19,7,8,4,5,4,3,0,0,38,0,3,7,16,32,21,10,0,0,89,0,0,0,3,3,0,0,0,0,6,0,0,0,0,3,3,3,0,0,13,0,0,0,0,8,8,0,0,0,17,0,3,6,7,12,15,0,0,0,38,0,0,3,5,10,13,0,0,0,35,0,0,4,16,19,30,0,0,0,71,0,0,3,11,15,23,6,0,0,56,0,0,3,3,9,7,3,0,0,24,3,0,3,3,6,8,3,0,0,24,7,3,13,18,13,9,5,0,0,72,11,10,19,26,27,22,6,3,0,131
501021015,0,0,4,4,7,3,4,0,0,23,0,4,26,30,24,17,3,0,0,98,5,26,66,46,46,50,5,3,0,245,0,4,3,11,18,15,0,0,0,51,13,26,77,60,40,40,4,0,0,267,0,3,9,11,10,5,3,0,0,39,18,19,39,30,24,17,0,0,0,146,31,16,18,12,7,0,0,0,0,82,3,4,21,22,26,22,6,0,0,98,0,6,3,3,3,0,0,0,0,19,0,3,4,0,7,4,0,0,0,17,0,0,3,7,12,6,5,0,0,32,0,0,12,6,9,8,0,0,0,35,0,0,10,3,10,9,3,0,0,37,4,5,10,8,11,11,3,0,0,55,4,0,6,6,24,9,4,0,0,48,0,0,16,13,16,17,4,0,0,61,0,0,5,0,0,3,4,0,0,12,7,4,24,9,5,16,0,0,0,72,3,8,12,15,19,17,3,0,0,74
501021016,0,0,11,10,8,20,18,6,0,72,3,0,31,22,39,24,4,0,0,134,4,11,22,38,50,32,8,0,0,169,0,0,0,3,8,3,0,0,0,19,11,15,27,21,47,32,8,3,0,163,0,0,3,3,3,4,0,0,0,12,6,10,7,0,3,3,8,0,0,42,6,4,0,4,5,0,0,0,0,17,0,0,3,3,10,12,8,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,9,0,0,0,3,9,3,0,0,0,21,0,0,0,3,5,5,0,0,0,16,3,0,3,8,11,10,0,0,0,39,0,0,4,0,3,0,0,0,0,12,0,0,0,3,5,3,0,0,0,15,4,3,0,0,0,3,0,0,0,10,4,3,6,10,3,4,0,0,0,31,8,9,9,6,4,8,0,0,0,39
501021251,3,4,10,5,9,11,3,3,0,50,0,12,34,78,60,17,3,0,0,192,7,20,66,84,67,25,0,0,0,265,3,3,12,11,29,11,0,0,0,65,19,50,90,95,77,26,9,0,0,373,0,4,10,12,7,4,0,0,0,41,50,30,29,38,21,21,3,0,0,190,51,12,16,11,4,0,0,0,0,92,0,3,22,29,30,20,3,0,0,113,5,9,5,4,0,4,0,0,0,27,0,0,0,13,9,0,0,0,0,21,3,0,5,3,8,5,0,0,0,24,0,3,15,17,16,10,4,0,0,74,5,0,6,9,10,8,0,0,0,35,0,3,15,34,42,14,0,0,0,107,3,4,9,24,26,17,8,0,0,93,3,4,37,30,27,11,3,0,0,119,3,3,5,5,3,3,0,0,0,17,7,9,12,20,18,10,3,0,0,73,9,7,21,21,21,5,0,0,0,93
501021252,3,0,3,7,4,7,0,0,0,22,0,3,8,26,23,9,3,0,0,69,3,8,5,18,33,23,0,0,0,95,0,0,0,7,8,3,0,0,0,18,12,9,14,34,48,24,0,0,0,147,0,3,3,4,3,6,0,0,0,21,11,3,6,6,7,6,3,0,0,44,13,0,0,0,0,0,0,0,0,15,0,0,0,10,7,12,4,0,0,31,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,8,0,0,4,0,0,7,3,0,0,11,0,0,0,11,3,9,0,0,0,28,3,3,0,4,4,8,0,0,0,24,0,0,4,3,9,5,0,0,0,24,0,0,4,3,9,10,3,0,0,29,0,0,3,6,17,14,4,0,0,47,0,0,0,0,3,4,0,0,0,11,3,5,5,5,13,6,0,0,0,42,3,0,3,8,15,6,0,0,0,34
501021253,0,5,8,13,10,4,3,0,3,53,0,3,48,60,43,32,3,0,0,189,7,19,66,82,81,63,17,0,0,335,3,0,15,28,20,12,0,0,0,80,20,45,118,104,108,81,22,0,0,510,0,0,7,13,17,10,5,0,0,59,36,27,42,32,40,31,16,0,0,222,35,27,40,22,24,11,7,0,0,156,0,4,18,25,33,44,18,0,0,148,0,10,7,7,7,6,0,0,0,39,0,3,10,9,17,10,6,0,0,51,3,3,8,11,10,3,11,0,0,48,0,3,33,23,36,38,12,0,0,156,0,10,14,12,15,13,9,3,0,78,0,6,19,26,45,51,4,3,0,160,0,8,12,31,30,40,14,4,0,133,0,11,31,32,43,33,17,0,0,172,6,3,6,11,12,5,3,0,0,43,3,5,17,22,24,11,9,0,0,98,5,11,21,30,21,19,13,3,0,121
501021254,0,3,0,5,4,7,3,3,0,20,0,3,22,22,16,17,3,0,0,75,3,13,34,33,28,20,0,0,0,126,0,0,11,7,5,10,0,0,0,35,5,20,46,46,30,29,3,0,0,170,0,0,4,5,5,9,0,0,0,22,15,18,28,15,26,10,0,0,0,109,14,5,9,3,4,3,0,0,0,38,3,4,9,12,20,15,3,0,0,70,0,0,3,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,10,0,0,10,8,4,4,4,0,0,29,4,0,5,5,7,3,3,0,0,24,0,0,3,10,10,9,0,0,0,34,0,0,0,8,6,14,3,0,0,33,0,0,14,11,6,7,3,0,0,47,0,0,0,0,3,0,0,0,0,3,0,3,9,8,13,8,4,0,0,45,3,3,13,18,9,11,0,0,0,62
501031017,10,12,31,74,76,75,60,24,0,369,3,5,24,34,55,32,9,0,0,173,3,3,17,12,25,13,3,0,0,77,0,0,5,10,9,7,5,0,0,37,12,15,30,22,45,40,8,0,0,164,0,3,4,5,5,16,0,0,0,36,18,0,6,15,9,9,7,0,0,69,11,0,8,8,5,10,3,0,0,35,0,0,3,11,19,18,3,0,0,48,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,7,0,0,4,9,8,5,6,0,0,30,0,0,4,4,3,6,6,0,0,25,3,3,7,15,29,15,4,0,0,71,0,0,0,6,8,17,6,0,0,40,0,0,3,10,8,11,13,0,0,42,5,0,0,0,0,0,0,0,0,9,4,0,6,10,10,5,3,0,0,36,8,5,6,5,16,26,8,3,0,76
501031018,7,9,31,43,51,65,53,9,4,268,3,6,32,48,46,18,3,0,0,145,6,3,19,19,17,8,8,0,0,84,3,0,4,11,15,8,0,0,0,34,12,14,33,36,43,40,9,0,0,183,4,0,4,5,5,5,0,0,0,27,10,8,8,13,13,15,4,0,0,71,6,3,4,7,3,7,9,0,0,28,0,0,4,14,19,23,8,3,0,66,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,4,0,0,18,0,0,3,4,8,10,4,0,0,34,0,0,14,11,5,10,0,0,0,39,0,0,6,10,18,24,3,0,0,62,0,0,0,7,14,12,10,0,0,43,0,0,0,3,7,8,8,0,0,33,0,0,0,0,0,7,0,0,0,10,6,3,11,11,13,8,3,0,0,50,3,7,12,9,14,18,9,4,0,72
501031019,7,29,71,49,41,60,25,13,3,294,0,0,9,9,11,3,3,0,0,31,3,12,28,19,32,36,4,0,0,142,0,3,0,7,3,3,0,0,0,18,13,23,43,19,29,22,10,0,0,157,6,0,3,7,13,3,0,0,0,37,25,6,15,20,23,9,7,0,0,104,19,0,7,10,5,5,3,0,0,48,0,3,9,18,17,21,18,3,0,98,0,0,3,0,0,0,0,0,0,6,0,0,3,5,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,4,0,0,3,3,9,7,3,0,0,20,9,3,6,6,9,12,0,0,0,46,3,4,9,16,20,14,3,0,0,67,0,0,14,10,6,11,0,0,0,44,0,0,5,3,14,12,7,0,0,40,0,3,5,6,9,15,5,0,0,39,3,4,11,3,12,12,3,0,0,60,4,5,17,17,20,16,4,0,0,72
501031020,14,16,49,44,81,89,55,20,3,365,0,0,5,11,12,9,3,0,0,35,3,6,11,22,37,37,7,0,0,131,0,0,5,0,0,3,0,0,0,6,6,9,11,31,25,23,8,0,0,114,3,0,0,0,11,6,4,0,0,25,17,3,0,4,9,11,3,0,0,48,7,6,9,21,18,17,11,0,0,83,0,0,4,3,16,14,8,0,0,46,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,6,0,0,0,14,0,0,3,3,8,7,3,0,0,21,0,3,3,3,3,4,4,0,0,25,0,5,3,13,20,17,5,0,0,61,0,3,5,6,12,12,0,0,0,36,0,0,0,7,7,6,4,0,0,26,0,3,0,7,13,13,4,0,0,52,3,0,3,0,6,0,0,0,0,18,3,9,9,5,8,13,8,3,0,61
502011021,0,0,0,3,0,3,0,0,0,18,0,4,61,61,70,33,3,0,0,228,3,13,17,29,40,27,7,0,0,135,0,0,0,7,5,5,0,0,0,18,14,25,54,91,90,40,16,0,0,323,0,0,4,6,7,4,0,0,0,26,17,11,17,12,12,15,9,0,0,86,22,11,12,5,3,11,3,0,0,69,0,0,3,15,15,13,3,0,0,54,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,4,3,0,0,14,0,3,0,6,3,6,0,0,0,19,0,0,4,14,13,15,5,0,0,55,3,0,4,8,13,15,4,0,0,48,0,0,10,7,18,9,4,0,0,49,0,3,6,13,13,11,7,0,0,59,0,3,0,7,9,7,3,0,0,31,0,3,3,0,5,3,3,0,0,17,3,6,8,7,12,8,0,0,0,45,3,4,12,16,16,13,4,0,0,75
502011022,0,3,3,3,0,7,9,3,0,25,0,5,46,61,59,35,5,0,0,211,11,8,18,36,52,47,11,0,0,185,0,4,11,6,0,8,0,0,0,32,20,47,79,69,104,62,10,0,0,385,3,3,8,7,7,5,3,0,0,33,15,18,12,24,25,28,4,0,0,115,26,16,6,11,6,5,5,0,0,77,0,4,9,12,25,14,8,0,0,71,0,6,0,3,7,5,0,0,0,14,0,0,0,3,4,3,0,0,0,14,0,0,3,9,3,9,5,3,0,30,0,5,3,8,20,7,0,0,0,48,4,3,13,12,9,10,3,0,0,53,0,7,3,21,25,20,6,0,0,68,0,5,7,14,22,23,6,0,0,81,0,3,4,11,8,13,4,0,0,49,0,0,0,3,0,3,3,0,0,10,3,8,9,8,12,11,5,0,0,56,6,17,10,16,18,9,9,3,0,89
502011023,0,0,3,3,7,5,0,0,0,18,0,3,45,40,53,34,0,0,0,175,6,14,28,43,72,39,3,0,0,205,0,6,7,11,12,4,0,0,0,34,19,41,102,69,73,34,3,0,0,343,0,3,7,9,5,6,0,0,0,34,26,36,28,19,26,12,8,0,0,155,36,24,18,7,7,3,3,0,0,95,3,0,10,19,31,23,5,0,0,92,0,4,3,4,9,0,0,0,0,21,0,0,5,0,5,3,0,0,0,19,0,0,0,0,3,5,0,0,0,7,0,3,11,11,13,4,3,0,0,49,0,7,12,12,9,10,0,0,0,56,0,10,13,16,24,23,8,0,0,88,0,7,4,8,8,9,3,0,0,45,0,6,13,17,15,11,0,0,0,59,7,0,7,4,0,6,0,0,0,22,3,8,11,10,11,9,0,0,0,56,5,18,21,12,25,12,4,0,0,103
502011024,3,5,3,4,7,4,4,0,0,32,0,22,107,132,138,76,8,0,0,483,6,29,46,72,129,94,10,3,0,398,0,5,8,24,11,14,3,0,0,62,48,92,112,153,154,105,24,3,0,691,0,6,12,13,16,18,3,0,0,72,67,52,29,45,38,42,12,3,0,294,84,43,24,20,18,4,10,0,0,195,3,5,19,17,41,58,22,0,0,166,3,13,4,5,12,4,0,0,0,38,0,3,3,12,20,9,5,0,0,50,0,3,4,8,16,19,11,0,0,57,3,8,18,29,31,22,14,4,0,134,3,13,21,11,17,20,3,0,0,99,0,5,15,38,53,34,14,0,0,171,4,7,10,24,33,33,15,5,0,123,0,0,10,29,20,26,6,0,0,105,5,5,3,4,5,5,5,4,0,42,4,13,24,30,24,24,11,4,0,132,15,16,37,36,40,25,12,0,0,177
