SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,INA_DS_Separate_house,INA_DS_SemD_ro_tr_h_th,INA_DS_Flat_or_Apart,INA_DS_Other_dwelling,INA_DS_Not_stated,INA_Total,INS_DS_Separate_house,INS_DS_SemD_ro_tr_h_th,INS_DS_Flat_or_Apart,INS_DS_Other_dwelling,INS_DS_Not_stated,INS_DS_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
501011001,1520,13,23,29,22,1609,288,4,27,21,4,349,27,0,3,4,3,43,1835,20,50,55,37,2002
501011002,6913,615,11,241,21,7808,977,334,16,96,0,1426,168,50,4,21,3,246,8064,1004,31,357,27,9480
501011003,2902,90,4,55,19,3067,269,21,0,20,8,319,60,0,0,7,3,69,3228,114,4,80,22,3460
501011004,2538,104,8,23,13,2684,244,34,4,19,3,304,43,3,0,3,0,56,2826,148,12,48,16,3045
501021005,4972,158,30,45,9,5221,459,62,11,25,0,559,101,8,0,3,0,109,5526,235,40,73,15,5886
501021007,1517,24,8,3,7,1563,212,23,4,0,0,238,39,0,0,0,0,43,1766,47,11,5,11,1841
501021008,1630,256,0,0,0,1886,365,197,0,0,0,559,47,29,0,0,0,80,2045,479,0,0,3,2523
501021009,2324,51,5,18,8,2406,697,55,6,4,7,771,85,9,3,0,0,98,3106,113,18,21,10,3270
501021010,903,7,0,23,6,931,106,3,0,14,0,120,15,0,0,0,3,15,1022,5,0,34,4,1072
501021011,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5
501021012,3266,217,0,22,10,3513,401,61,0,17,0,478,74,5,0,0,0,82,3740,284,0,37,11,4072
501021014,2295,63,6,8,26,2390,527,58,11,9,4,605,73,3,0,0,15,91,2894,125,10,21,39,3087
501021015,1803,198,69,5,3,2086,344,92,62,8,0,510,56,11,10,0,0,77,2210,304,140,14,6,2672
501021016,1049,16,18,11,5,1107,246,11,38,0,0,299,29,0,9,10,3,48,1323,34,62,27,15,1452
501021251,2446,55,61,0,3,2559,152,33,44,0,0,231,33,0,8,0,0,38,2631,89,105,0,3,2831
501021252,834,0,0,9,0,841,67,0,0,0,0,73,25,0,0,0,0,23,923,0,3,5,0,935
501021253,2734,828,286,31,12,3892,407,194,197,37,4,835,69,24,28,4,0,126,3217,1045,509,70,19,4850
501021254,1259,154,48,38,4,1497,288,133,15,20,0,461,39,20,6,0,0,63,1586,312,71,57,4,2021
501031017,1922,28,6,11,7,1979,427,17,4,8,3,460,58,4,0,7,0,74,2414,52,11,23,10,2513
501031018,1665,30,3,14,15,1727,326,22,0,3,4,359,46,3,0,0,0,50,2031,61,4,17,17,2132
501031019,1455,51,51,5,3,1567,377,33,43,0,3,459,44,8,6,0,0,57,1873,98,101,5,4,2083
501031020,1359,14,7,32,16,1425,400,14,3,11,3,428,46,0,0,0,3,52,1807,26,10,41,24,1909
502011021,2064,65,26,35,4,2188,214,29,4,23,3,276,44,3,0,3,0,56,2322,97,30,60,8,2515
502011022,2521,217,6,41,7,2797,384,46,0,10,0,443,68,0,0,0,0,74,2975,263,8,58,9,3316
